author_institution,country,chosen_latitude,chosen_longitude,total_authors,elite_authors,elite_percentage,is_elite
"""Dunarea de Jos"" University of Galati",Romania,45.43382263,28.05493927,5,0.0,0.0,False
's Heeren Loo,Netherlands,52.31488419,5.59121799,1,0.0,0.0,False
1 Decembrie 1918 University,Romania,45.98521423,24.68592262,2,0.0,0.0,False
117th Hospital of People's Liberation Army,China,36.55937195,103.7533493,1,1.0,100.0,True
21c Consultancy (United Kingdom),United Kingdom,53.9438324,-2.55056405,1,0.0,0.0,False
22q11 Ireland,Ireland,52.86519623,-7.97945976,2,1.0,50.0,True
23andMe (United States),United States,40.21833038,-79.48777771,2,2.0,100.0,True
4D Pharma (United Kingdom),United Kingdom,53.9438324,-2.55056405,1,0.0,0.0,False
A*STAR Graduate Academy,Singapore,1.35652304,103.80859375,4,2.0,50.0,True
A*STAR-NUS Clinical Imaging Research Centre,Singapore,1.35652304,103.80859375,3,0.0,0.0,False
A. Alfred Taubman Health Care Center,United States,39.50357056,-99.01834106,1,0.0,0.0,False
AB Agri,United Kingdom,53.9438324,-2.55056405,1,0.0,0.0,False
ABB (Germany),Germany,51.09198761,10.38080788,1,1.0,100.0,True
ABB (Poland),Poland,52.21593475,19.1344223,3,0.0,0.0,False
ABB (Sweden),Sweden,60.6749,17.162592,4,1.0,25.0,True
ABB (Switzerland),Switzerland,46.80123901,8.23096466,4,2.0,50.0,True
AC Camargo Hospital,Brazil,-10.012665,-67.804766,1,1.0,100.0,True
AC2T Research (Austria),Austria,47.58707047,14.14098835,1,0.0,0.0,False
ADVA Optical Networking (Germany),Germany,51.09198761,10.38080788,1,0.0,0.0,False
AECOM (China),China,29.06916046,91.86723328,1,0.0,0.0,False
AGH University of Krakow,Poland,50.06194687,19.93685722,20,2.0,10.0,False
"AGroecologies, Innovations & Ruralities",France,46.62480927,2.45837498,6,3.0,50.0,True
AIAS Bologna,Italy,44.49419022,11.34651852,1,0.0,0.0,False
AIDS Vancouver,Canada,49.26356506,-123.13857269,3,1.0,33.33333333333333,True
ANDRO (United States),United States,40.21833038,-79.48777771,3,0.0,0.0,False
ANT Foundation Italy Onlus,Italy,43.52555084,12.1600008,1,0.0,0.0,False
AO Foundation,Switzerland,46.80123901,8.23096466,1,0.0,0.0,False
APEC Climate Center,"Korea, Republic of",36.43822861,127.83287048,1,0.0,0.0,False
ARC Centre of Excellence for Climate System Science,Australia,-25.72804832,134.49017334,2,2.0,100.0,True
ARC Centre of Excellence for Coral Reef Studies,Australia,-25.72804832,134.49017334,9,5.0,55.55555555555556,True
ARC Centre of Excellence for Core to Crust Fluid Systems,Australia,-25.72804832,134.49017334,1,0.0,0.0,False
ARC Centre of Excellence for Electromaterials Science,Australia,-25.72804832,134.49017334,4,1.0,25.0,True
ARC Centre of Excellence for Enabling Eco-Efficient Beneficiation of Minerals,Australia,-25.72804832,134.49017334,1,1.0,100.0,True
ARC Centre of Excellence for Engineered Quantum Systems,Australia,-25.72804832,134.49017334,6,1.0,16.666666666666664,False
ARC Centre of Excellence for Environmental Decisions,Australia,-25.72804832,134.49017334,2,1.0,50.0,True
ARC Centre of Excellence for Mathematical and Statistical Frontiers,Australia,-25.72804832,134.49017334,2,1.0,50.0,True
ARC Centre of Excellence for Particle Physics at the Terascale,Australia,-25.72804832,134.49017334,4,2.0,50.0,True
ARC Centre of Excellence in Cognition and its Disorders,Australia,-25.72804832,134.49017334,3,2.0,66.66666666666666,True
ARC Centre of Excellence in Synthetic Biology,Australia,-25.72804832,134.49017334,1,1.0,100.0,True
ARM (United Kingdom),United Kingdom,53.9438324,-2.55056405,2,0.0,0.0,False
ARUP Laboratories (United States),United States,40.21833038,-79.48777771,1,1.0,100.0,True
ASA College,United States,40.69141769,-73.98618317,1,0.0,0.0,False
ASST Fatebenefratelli Sacco,Italy,40.37893295,15.37811565,1,0.0,0.0,False
AT&T (United States),United States,32.90805054,-117.18586731,21,8.0,38.095238095238095,True
ATA Engineering (United States),United States,40.35055161,-74.65154266,1,0.0,0.0,False
AVIC Optronics (China),China,29.06916046,91.86723328,1,0.0,0.0,False
AXA (France),France,47.92593384,-1.90046334,2,0.0,0.0,False
AZ Sint-Jan,Belgium,50.93333054,2.86666989,2,0.0,0.0,False
AZ Sint-Lucas,Belgium,51.06243,3.720503,2,1.0,50.0,True
Aalborg University,Denmark,57.01528549,9.97899532,118,32.0,27.11864406779661,True
Aalborg University Hospital,Denmark,57.01528549,9.97899532,1,1.0,100.0,True
Aalto University,Finland,60.18643951,24.82733727,161,35.0,21.73913043478261,True
Aarhus University,Denmark,56.15522385,10.17289734,126,28.0,22.22222222222222,True
Aarhus University Hospital,Denmark,56.19087982,10.170434,20,9.0,45.0,True
AbbVie (United States),United States,31.741479,-93.071516,4,0.0,0.0,False
Abbottabad University of Science and Technology,Pakistan,34.06816101,73.14945221,3,0.0,0.0,False
Abdelmalek Essaâdi University,Morocco,31.17282104,-7.3362484,5,0.0,0.0,False
Abdul Latif Jameel Poverty Action Lab,United States,42.0304985,-93.64820099,2,0.0,0.0,False
Abdul Wali Khan University Mardan,Pakistan,34.15090179,72.04740143,8,5.0,62.5,True
Abdullah Gül University,Türkiye,38.73703384,35.47355652,1,0.0,0.0,False
Abdus Salam Centre for Physics,Pakistan,29.39997482,68.81533813,2,0.0,0.0,False
Aberdeen Royal Infirmary,United Kingdom,57.15504456,-2.13490629,1,0.0,0.0,False
Abertay University,United Kingdom,56.46316528,-2.97491789,13,1.0,7.6923076923076925,False
Aberystwyth University,United Kingdom,52.4180603,-4.06576014,47,12.0,25.53191489361702,True
Abilene Christian University,United States,32.46936035,-99.70812988,3,0.0,0.0,False
Abu Dhabi University,United Arab Emirates,24.36651611,54.56472015,7,0.0,0.0,False
Academia Sinica,"Taiwan, Province of China",25.042287111877773,121.61617352781572,14,3.0,21.428571428571427,True
Academic Center for Dentistry Amsterdam,Netherlands,52.37316513,4.89065981,4,1.0,25.0,True
Academic College of Tel Aviv-Yafo,Israel,32.08530045,34.78180695,2,0.0,0.0,False
Academic Medical Center,Netherlands,52.29209137,4.95624399,20,14.0,70.0,True
Academy of Athens,Greece,37.97999954,23.7341671,4,2.0,50.0,True
Academy of Mathematics and Systems Science,China,36.55937195,103.7533493,20,9.0,45.0,True
Academy of Military Medical Sciences,China,36.55937195,103.7533493,1,0.0,0.0,False
Academy of Nutrition and Dietetics,United States,39.50357056,-99.01834106,1,0.0,0.0,False
Academy of Sciences Malaysia,Malaysia,3.6024549,114.70446777,1,0.0,0.0,False
Academy of Scientific and Innovative Research,India,28.68804169,77.46538544,3,0.0,0.0,False
Acadia Pharmaceuticals (United States),United States,44.35059738,-68.24622345,3,2.0,66.66666666666666,True
Acadia University,Canada,45.08666611,-64.3653717,4,0.0,0.0,False
Accademia Italiana Medicina Osteopatica,Italy,43.52555084,12.1600008,1,0.0,0.0,False
Acceleron Pharma (United States),United States,40.21833038,-79.48777771,1,0.0,0.0,False
Accenture (United Kingdom),United Kingdom,53.9438324,-2.55056405,2,0.0,0.0,False
Accenture (United States),United States,40.21833038,-79.48777771,1,0.0,0.0,False
Access to Wholistic and Productive Living Institute,United States,38.38342285,-81.76409912,1,0.0,0.0,False
Acellera (Spain),Spain,40.3901062,-3.55436611,3,0.0,0.0,False
Acer (Taiwan),"Taiwan, Province of China",23.79999924,121.0,1,0.0,0.0,False
Acharya Nagarjuna University,India,16.37754059,80.52629089,3,0.0,0.0,False
Acoustic MedSystems (United States),United States,40.21833038,-79.48777771,1,0.0,0.0,False
Acpharis,United States,39.50357056,-99.01834106,1,1.0,100.0,True
Action for ME,United Kingdom,55.00708389,-7.32384872,2,0.0,0.0,False
Acumen Pharmaceuticals (United States),United States,40.21833038,-79.48777771,1,1.0,100.0,True
Acushnet (United States),United States,41.68038177,-70.90426636,1,0.0,0.0,False
Acıbadem University,Türkiye,38.98909378,35.43323135,1,0.0,0.0,False
Adam Mickiewicz University in Poznań,Poland,52.40826797,16.93351936,5,1.0,20.0,True
Adam Smith Institute,United Kingdom,53.9438324,-2.55056405,5,1.0,20.0,True
Adamson University,Philippines,14.58647442,120.98596954,1,0.0,0.0,False
Adaptive Cognitive Systems,United States,39.50357056,-99.01834106,1,0.0,0.0,False
Addenbrooke's Hospital,United Kingdom,51.37957001,0.54145122,3,1.0,33.33333333333333,True
Addis Ababa University,Ethiopia,9.04641724,38.75883865,1,1.0,100.0,True
Adekunle Ajasin University,Nigeria,6.51445103,3.39475417,1,0.0,0.0,False
Adelphi University,United States,40.72000122,-73.65200043,2,0.0,0.0,False
Aditya Birla (India),India,18.6150392,73.7640495,1,0.0,0.0,False
Adler Planetarium,United States,41.8663559,-87.60661316,2,0.0,0.0,False
Adnan Menderes University,Türkiye,37.85469818,27.85470009,1,0.0,0.0,False
Adobe Systems (United States),United States,40.21833038,-79.48777771,61,24.0,39.34426229508197,True
Adolfo Ibáñez University,Chile,-33.42135239,-70.5916214,1,0.0,0.0,False
"Advanced Centre for Treatment, Research and Education in Cancer",India,22.35250664,79.36367798,4,0.0,0.0,False
Advanced Digital Sciences Center,Singapore,1.35652304,103.80859375,9,5.0,55.55555555555556,True
Advanced Dynamics (United States),United States,40.21833038,-79.48777771,1,0.0,0.0,False
Advanced Genomic Technology (United States),United States,40.21833038,-79.48777771,2,0.0,0.0,False
Advanced Imaging Research (United States),United States,40.21833038,-79.48777771,18,6.0,33.33333333333333,True
Advanced Institute of Convergence Technology,"Korea, Republic of",36.43822861,127.83287048,3,1.0,33.33333333333333,True
Advanced Manufacturing Research Centre,United Kingdom,53.9438324,-2.55056405,2,0.0,0.0,False
Advanced Micro Devices (United States),United States,40.21833038,-79.48777771,1,0.0,0.0,False
Advanced Neural Dynamics (United States),United States,40.21833038,-79.48777771,12,2.0,16.666666666666664,False
Advanced Research Center for Nanolithography (Netherlands),Netherlands,52.24563217,5.62691021,1,0.0,0.0,False
Advanced Technologies Group (United States),United States,40.21833038,-79.48777771,10,2.0,20.0,True
Advanced Technology Group (Czechia),Czechia,49.74390411,15.33810616,1,0.0,0.0,False
Advanced Telecommunications Research Institute International,Japan,36.65415573,137.9765625,12,0.0,0.0,False
AdventHealth Orlando,United States,28.5751152,-81.37075806,2,0.0,0.0,False
Adıyaman University,Türkiye,37.74441528,38.23134613,3,0.0,0.0,False
Aerospace Information Research Institute,China,36.55937195,103.7533493,27,7.0,25.925925925925924,True
Afeka College of Engineering,Israel,30.81242561,34.859478,5,0.0,0.0,False
Affidea,Switzerland,46.80123901,8.23096466,1,1.0,100.0,True
Affiliated Eye Hospital of Wenzhou Medical College,China,27.99408913,120.69937134,1,0.0,0.0,False
Affiliated Hospital of Guizhou Medical University,China,34.25336075,117.26022339,1,0.0,0.0,False
Affiliated Hospital of Hangzhou Normal University,China,34.19442749,117.1900177,4,1.0,25.0,True
Affiliated Hospital of Qingdao University,China,36.0719986,120.4280014,21,6.0,28.57142857142857,True
Affiliated Hospital of Shandong University of Traditional Chinese Medicine,China,30.17602921,120.1463089,6,0.0,0.0,False
Affiliated Hospital of Southwest Medical University,China,34.25336075,117.26022339,3,1.0,33.33333333333333,True
Affiliated Zhongshan Hospital of Dalian University,China,38.87443924,121.53360748,2,0.0,0.0,False
Africa Center,United States,39.50357056,-99.01834106,1,0.0,0.0,False
African Conservation Centre,Kenya,-0.28272641,36.12501526,2,0.0,0.0,False
African Development Bank Group,Côte d'Ivoire,5.33150864,-4.02215433,1,0.0,0.0,False
Afyon Kocatepe University,Türkiye,38.74007416,30.56483459,1,0.0,0.0,False
AgResearch,New Zealand,-41.50008392,172.83441162,9,1.0,11.11111111111111,False
Agder Research,Norway,58.14614868,7.99573326,1,0.0,0.0,False
Age UK,United Kingdom,53.9438324,-2.55056405,1,1.0,100.0,True
Agence pour le Développement et la Réhabilitation de la Ville de Fès,Morocco,34.02724457,-5.00935364,1,1.0,100.0,True
Agencia Estatal de Meteorología,Spain,40.3901062,-3.55436611,1,0.0,0.0,False
Agency for Defense Development,"Korea, Republic of",36.43822861,127.83287048,3,0.0,0.0,False
Agency for Healthcare Research and Quality,United States,35.78325272,-119.11936188,1,0.0,0.0,False
Agency for Integrated Care,Singapore,1.35652304,103.80859375,1,1.0,100.0,True
"Agency for Science, Technology and Research",Singapore,1.35652304,103.80859375,10,3.0,30.0,True
Agenzia Regionale per la Protezione Ambientale,Italy,43.52555084,12.1600008,2,0.0,0.0,False
Agenzia Regionale per la Protezione dell’Ambiente Ligure,Italy,43.52555084,12.1600008,1,0.0,0.0,False
Agilent Technologies (Germany),Germany,51.09198761,10.38080788,5,0.0,0.0,False
Agilent Technologies (United States),United States,40.21833038,-79.48777771,13,1.0,7.6923076923076925,False
Agios Pavlos General Hospital,Greece,38.99536896,21.98771286,3,0.0,0.0,False
Agora University,Romania,45.98521423,24.68592262,1,0.0,0.0,False
Agostino Gemelli University Polyclinic,Italy,41.93027878,12.42972183,6,0.0,0.0,False
AgriBio,Australia,-25.72804832,134.49017334,1,1.0,100.0,True
Agricultural & Applied Economics Association,United States,39.50357056,-99.01834106,3,0.0,0.0,False
Agricultural Development Advisory Service (United Kingdom),United Kingdom,53.9438324,-2.55056405,3,0.0,0.0,False
Agricultural Marketing Service,United States,37.97138977,-91.14582825,1,1.0,100.0,True
Agricultural Research & Education Organization,"Iran, Islamic Republic of",32.6475296,54.56435013,1,0.0,0.0,False
Agricultural Research Council of South Africa,South Africa,-28.99632072,25.08714294,1,0.0,0.0,False
Agricultural Research Organization,Israel,30.81242561,34.859478,7,2.0,28.57142857142857,True
Agricultural Research Service,United States,37.97138977,-91.14582825,7,3.0,42.857142857142854,True
Agricultural University of Athens,Greece,37.98242188,23.70431328,23,5.0,21.73913043478261,True
Agriculture Victoria,Australia,-36.85008621,144.30429077,3,2.0,66.66666666666666,True
Agriculture and Agri-Food Canada,Canada,62.57398605,-96.60810852,6,4.0,66.66666666666666,True
Agriculture and Food,Australia,-25.72804832,134.49017334,7,4.0,57.14285714285714,True
Agrifood Research Finland,Finland,63.24677658,25.9209156,1,0.0,0.0,False
AgroParisTech,France,48.83931732,2.34878922,3,0.0,0.0,False
Agropolis International,France,43.64482498,3.86971545,1,0.0,0.0,False
Agroscope,Switzerland,46.80123901,8.23096466,4,0.0,0.0,False
Ahmadu Bello University,Nigeria,6.51445103,3.39475417,2,0.0,0.0,False
Ahmedabad University,India,23.03899956,72.55599976,2,1.0,50.0,True
Ahsanullah University of Science and Technology,Bangladesh,23.76361084,90.40693665,7,1.0,14.285714285714285,False
Ahvaz Jundishapur University of Medical Sciences,"Iran, Islamic Republic of",34.07500839,49.70712662,2,0.0,0.0,False
AiCure (United States),United States,40.21833038,-79.48777771,1,0.0,0.0,False
Aichi Cancer Center,Japan,34.98275757,137.15332031,11,8.0,72.72727272727273,True
Aichi Institute of Technology,Japan,35.18360138,137.1118927,2,1.0,50.0,True
Aichi Medical University,Japan,35.19250107,137.0473938,1,1.0,100.0,True
Aichi Medical University Hospital,Japan,35.19250107,137.0473938,3,1.0,33.33333333333333,True
Aichi Prefectural University,Japan,35.18199921,137.08700562,3,0.0,0.0,False
Ain Shams University,Egypt,30.0770607,31.28478622,28,3.0,10.714285714285714,False
Air Force Engineering University,China,34.27378082,109.03617096,23,4.0,17.391304347826086,False
Air Force General Hospital PLA,China,39.92025517318731,116.30243032046424,1,1.0,100.0,True
Air Force Institute of Technology,United States,39.78159332,-84.08363342,9,0.0,0.0,False
Air Force Medical University,China,34.25336075,117.26022339,27,8.0,29.629629629629626,True
Air Liquide (United States),United States,40.21833038,-79.48777771,1,1.0,100.0,True
Air University,Pakistan,33.71379852,73.02469635,11,1.0,9.090909090909092,False
Airbus (France),France,46.62480927,2.45837498,2,0.0,0.0,False
Airbus (Germany),Germany,51.09198761,10.38080788,3,0.0,0.0,False
Airbus (United Kingdom),United Kingdom,53.9438324,-2.55056405,3,1.0,33.33333333333333,True
Aitek (Italy),Italy,42.0,14.0,1,0.0,0.0,False
Aix-Marseille University,France,43.29358292,5.35791349,15,8.0,53.333333333333336,True
Ajloun National University,Jordan,32.3323288,35.75205231,1,0.0,0.0,False
Ajman University,United Arab Emirates,25.41244888,55.50659943,1,0.0,0.0,False
Ajou University,"Korea, Republic of",37.28291321,127.04606628,32,8.0,25.0,True
Akal University,India,29.97028351,75.08785248,1,0.0,0.0,False
Akdeniz University,Türkiye,36.89720154,30.65189934,2,0.0,0.0,False
Akdeniz University Hospital,Türkiye,36.89720154,30.65189934,2,0.0,0.0,False
Al Akhawayn University,Morocco,33.53937531,-5.10640907,5,0.0,0.0,False
Al Azhar University,Egypt,30.04582977,31.26250076,1,0.0,0.0,False
Al Baha University,Saudi Arabia,19.99458313,41.48343277,3,0.0,0.0,False
Al Jouf University,Saudi Arabia,29.79163551,40.04642105,9,0.0,0.0,False
Al Khawarizmi International College,United Arab Emirates,24.51693535,54.6656189,2,0.0,0.0,False
Al Madinah International University,Malaysia,3.084973,101.52351,1,0.0,0.0,False
Al Mansour University College,Iraq,33.27287674,44.38071442,7,0.0,0.0,False
Al Yamamah University,Saudi Arabia,24.86283112,46.59208298,2,1.0,50.0,True
Al al-Bayt University,Jordan,32.3338356,36.24869537,4,0.0,0.0,False
Al-Ahliyya Amman University,Jordan,32.01373291,35.87342834,3,0.0,0.0,False
Al-Azhar University – Gaza,"Palestine, State of",31.515145859649312,34.439687794804286,2,0.0,0.0,False
Al-Balqa Applied University,Jordan,32.02429581,35.71693039,10,1.0,10.0,False
Al-Muthanna University,Iraq,30.5923748,45.29160309,1,0.0,0.0,False
Al-Quds University,"Palestine, State of",31.755813110431728,35.26007292365213,1,0.0,0.0,False
Al-Zaytoonah University of Jordan,Jordan,32.01373291,35.87342834,1,0.0,0.0,False
Alabama Agricultural and Mechanical University,United States,34.78464127,-86.56994629,1,1.0,100.0,True
Alacris (Germany),Germany,51.09198761,10.38080788,4,0.0,0.0,False
Alagappa University,India,10.09255505,78.78659821,3,2.0,66.66666666666666,True
Alanus University of Arts and Social Sciences,Germany,50.73249817,6.99944019,1,0.0,0.0,False
AlbaNova,Sweden,59.35324478,18.05792999,1,0.0,0.0,False
Albany Medical Center Hospital,United States,42.65316391,-73.77589417,5,4.0,80.0,True
Albany State University,United States,31.56941223,-84.14138031,12,3.0,25.0,True
Albert Einstein College of Medicine,United States,40.85274124,-73.84640503,14,10.0,71.42857142857143,True
Albert Schweitzer Ziekenhuis,Netherlands,52.24563217,5.62691021,1,0.0,0.0,False
Alberta Biodiversity Monitoring Institute,Canada,55.16930771,-114.51179504,2,0.0,0.0,False
Alberta Children's Hospital,Canada,51.07499313,-114.14830017,3,1.0,33.33333333333333,True
Alberta Energy,Canada,55.16930771,-114.51179504,2,0.0,0.0,False
Alberta Health Services,Canada,55.16930771,-114.51179504,2,0.0,0.0,False
Alberta Innovates,Canada,55.16930771,-114.51179504,2,0.0,0.0,False
Albion College,United States,42.24251175,-84.7485199,2,0.0,0.0,False
Alcatel Lucent (Germany),Germany,51.09198761,10.38080788,1,0.0,0.0,False
Alelo (United States),United States,40.21833038,-79.48777771,1,1.0,100.0,True
Alessandro Manzoni Hospital,Italy,43.52555084,12.1600008,1,0.0,0.0,False
Alexander Fleming Biomedical Sciences Research Center,Greece,38.99536896,21.98771286,5,1.0,20.0,True
Alexander Technological Educational Institute of Thessaloniki,Greece,40.64031601,22.93527222,2,0.0,0.0,False
Alexander von Humboldt Biological Resources Research Institute,Colombia,4.09991693,-72.90881348,1,0.0,0.0,False
Alexander von Humboldt Institute for Internet and Society,Germany,51.09198761,10.38080788,1,0.0,0.0,False
Alexandra Institute (Denmark),Denmark,55.9633978748347,10.0462968058278,1,0.0,0.0,False
Alexandria University,Egypt,31.20042419,29.90584183,13,2.0,15.384615384615385,False
Alexandru Ioan Cuza University,Romania,47.17408371,27.57165909,4,0.0,0.0,False
Alfa College,Netherlands,52.24563217,5.62691021,1,0.0,0.0,False
Alfred Mann Foundation,United States,39.50357056,-99.01834106,4,0.0,0.0,False
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Germany,51.09198761,10.38080788,11,3.0,27.27272727272727,True
Alfried Krupp Hospital,Germany,51.4264183,7.00729895,1,0.0,0.0,False
Alhosn University,United Arab Emirates,25.10758018,55.41427994,1,0.0,0.0,False
Aliah University,India,13.33825779,77.12081146,1,0.0,0.0,False
Alibaba Group (Cayman Islands),Cayman Islands,19.31822777,-81.24102783,1,0.0,0.0,False
Alibaba Group (China),China,29.06916046,91.86723328,76,13.0,17.105263157894736,False
Alibaba Group (United States),United States,40.21833038,-79.48777771,41,7.0,17.073170731707318,False
Aligarh Muslim University,India,27.9145298,78.07752991,1,0.0,0.0,False
All India Council for Technical Education,India,22.35250664,79.36367798,1,0.0,0.0,False
All India Institute of Medical Sciences,India,28.56500053,77.20999908,3,0.0,0.0,False
Allameh Tabataba'i University,"Iran, Islamic Republic of",35.4696592,50.9941726,4,1.0,25.0,True
Allegheny College,United States,41.64897537,-80.14474487,1,0.0,0.0,False
Allegheny General Hospital,United States,40.45723724,-80.00344086,3,1.0,33.33333333333333,True
Allen Institute,United States,38.38342285,-81.76409912,64,12.0,18.75,False
Allen Institute for Artificial Intelligence,United States,39.50357056,-99.01834106,34,8.0,23.52941176470588,True
Allen Institute for Brain Science,United States,39.50357056,-99.01834106,16,11.0,68.75,True
Allen Institute for Cell Science,United States,39.50357056,-99.01834106,11,0.0,0.0,False
Alliance for Health Policy and Systems Research,Switzerland,46.80123901,8.23096466,4,2.0,50.0,True
Alliant International University,United States,34.08103943,-118.14916229,1,0.0,0.0,False
Almac (United Kingdom),United Kingdom,53.9438324,-2.55056405,1,0.0,0.0,False
Almen Laboratories (United States),United States,39.362643,-76.637361,1,0.0,0.0,False
Alpha MOS (France),France,43.18128586,2.65444303,1,0.0,0.0,False
Alrafidain University College,Iraq,33.36437988,44.40724564,2,0.0,0.0,False
Alstom (France),France,48.70217133,6.18705273,4,0.0,0.0,False
Alstom (Sweden),Sweden,60.6749,17.162592,2,0.0,0.0,False
Alstom (United States),United States,40.21833038,-79.48777771,3,1.0,33.33333333333333,True
Altair Engineering (United States),United States,40.35055161,-74.65154266,1,0.0,0.0,False
Altnagelvin Area Hospital,United Kingdom,54.98547745,-7.29268599,1,0.0,0.0,False
Altınbaş University,Türkiye,41.05712509,28.82057762,1,0.0,0.0,False
Alzahra University,"Iran, Islamic Republic of",36.30810547,59.52826309,1,0.0,0.0,False
Alzforum,United States,39.50357056,-99.01834106,3,1.0,33.33333333333333,True
Alzheimer's Association,United States,38.06835175,-78.4815979,4,4.0,100.0,True
Alzheimer's Drug Discovery Foundation,United States,39.50357056,-99.01834106,1,1.0,100.0,True
Alzheimer’s Disease Neuroimaging Initiative,United States,39.50357056,-99.01834106,2,0.0,0.0,False
Amarillo College,United States,35.18827057,-101.84722137,2,0.0,0.0,False
Amasya Üniversitesi,Türkiye,40.65465546,35.80497742,1,0.0,0.0,False
Amazon (Germany),Germany,51.09198761,10.38080788,15,0.0,0.0,False
Amazon (United Kingdom),United Kingdom,53.9438324,-2.55056405,3,1.0,33.33333333333333,True
Amazon (United States),United States,40.21833038,-79.48777771,41,5.0,12.195121951219512,False
American Association of Geographers,United States,39.50357056,-99.01834106,1,0.0,0.0,False
American Association of Orthodontists,United States,39.50357056,-99.01834106,1,0.0,0.0,False
American Association of Physics Teachers,United States,39.50357056,-99.01834106,2,0.0,0.0,False
American Bar Foundation,United States,39.50357056,-99.01834106,1,0.0,0.0,False
American College of Medical Genetics,United States,39.50357056,-99.01834106,2,1.0,50.0,True
American College of Radiology,United States,38.95095825,-77.32828522,2,0.0,0.0,False
American Friends of Tel Aviv University,United States,26.3714695,-80.12716675,5,1.0,20.0,True
American Institute of Aeronautics and Astronautics,United States,38.94425583,-77.32118988,11,4.0,36.36363636363637,True
American Institutes for Research,United States,39.50357056,-99.01834106,3,0.0,0.0,False
American International University-Bangladesh,Bangladesh,23.82205582,90.42744446,3,0.0,0.0,False
American Medical Association,United States,39.50357056,-99.01834106,7,3.0,42.857142857142854,True
American Military Academy,Puerto Rico,18.21738625,-66.36221313,1,0.0,0.0,False
American Museum of Natural History,United States,40.78067398,-73.973526,5,2.0,40.0,True
American Petroleum Institute,United States,38.38342285,-81.76409912,1,1.0,100.0,True
American Psychological Association,United States,39.50357056,-99.01834106,1,1.0,100.0,True
American Rock Mechanics Association,United States,39.50357056,-99.01834106,2,0.0,0.0,False
American Society For Engineering Education,United States,35.37805939,-119.01638794,1,0.0,0.0,False
American Society of Anesthesiologists,United States,39.50357056,-99.01834106,1,0.0,0.0,False
American Society of Mechanical Engineers,United States,39.50357056,-99.01834106,1,0.0,0.0,False
American Sociological Association,United States,39.50357056,-99.01834106,1,0.0,0.0,False
American University,United States,38.93717575,-77.08914185,10,1.0,10.0,False
American University in Cairo,Egypt,30.01916885,31.50286293,3,0.0,0.0,False
American University in the Emirates,United Arab Emirates,25.22769165,55.17504501,1,0.0,0.0,False
American University of Beirut,Lebanon,33.90034485,35.48219681,14,1.0,7.142857142857142,False
American University of Paris,France,48.85902786,2.30401611,1,0.0,0.0,False
American University of Sharjah,United Arab Emirates,25.31100655,55.49192429,17,1.0,5.88235294117647,False
American University of Technology,Lebanon,34.09618759,35.65445709,1,0.0,0.0,False
American University of the Middle East,Kuwait,29.16497612,48.09918976,2,0.0,0.0,False
Amerikan Hastanesi,Türkiye,38.98909378,35.43323135,1,1.0,100.0,True
Ames Research Center,United States,39.50357056,-99.01834106,55,19.0,34.54545454545455,True
Amgen (United States),United States,40.21833038,-79.48777771,16,3.0,18.75,False
Amherst College,United States,42.36981583,-72.51589203,7,3.0,42.857142857142854,True
Amirkabir University of Technology,"Iran, Islamic Republic of",35.70434952,51.40946198,21,6.0,28.57142857142857,True
Amity University,India,28.54398727,77.33327484,12,0.0,0.0,False
Amman Arab University,Jordan,32.11439896,35.88196945,1,1.0,100.0,True
Amoud University,Somalia,9.94534206,43.22234726,2,0.0,0.0,False
Ampel BioSolutions (United States),United States,40.21833038,-79.48777771,7,1.0,14.285714285714285,False
Amphia Ziekenhuis,Netherlands,52.24563217,5.62691021,1,0.0,0.0,False
Amrita Vishwa Vidyapeetham,India,10.9011097,76.90277863,33,1.0,3.0303030303030303,False
Amsterdam Neuroscience,Netherlands,52.37316513,4.89065981,28,13.0,46.42857142857143,True
Amsterdam UMC Location VUmc,Netherlands,52.33443832,4.86000013,40,20.0,50.0,True
Amsterdam University Medical Centers,Netherlands,52.36854172,4.89021587,22,7.0,31.818181818181817,True
Amsterdam University of Applied Sciences,Netherlands,52.35923386,4.9092679,6,2.0,33.33333333333333,True
Amsterdam University of the Arts,Netherlands,52.24563217,5.62691021,9,2.0,22.22222222222222,True
Amyris (United States),United States,40.21833038,-79.48777771,1,0.0,0.0,False
An-Najah National University,"Palestine, State of",32.228761429800585,35.220647271341655,2,0.0,0.0,False
Anadolu University,Türkiye,39.79140091,30.49970055,5,0.0,0.0,False
Analysis & Policy Observatory,Australia,-25.72804832,134.49017334,1,0.0,0.0,False
Analysis Group (United States),United States,40.21833038,-79.48777771,3,0.0,0.0,False
Andalusian Institute of Agricultural and Fisheries Research and Training,Spain,40.3901062,-3.55436611,1,0.0,0.0,False
Anderson University - South Carolina,United States,34.51399994,-82.63800049,4,4.0,100.0,True
Andhra University,India,17.72752762,83.32344818,3,0.0,0.0,False
Andrews University,United States,41.96357346,-86.35809326,2,0.0,0.0,False
Andrássy University Budapest,Hungary,47.49211121,19.0641613,1,0.0,0.0,False
Angered Hospital,Sweden,59.67497253,14.52085876,1,0.0,0.0,False
Angion (United States),United States,40.21833038,-79.48777771,9,1.0,11.11111111111111,False
Anglia Ruskin University,United Kingdom,52.20337677,0.13472199,19,2.0,10.526315789473683,False
